arch,model,scenario,passed,end_reason,error,agent_turns,mean_turn_latency_s,agent_llm_calls,prompt_tokens,completion_tokens,agent_cost_usd,caller_cost_usd
supervisor,gpt-4.1-mini,book_new_patient,0,patient_hangup,,5,2.7187,17,23194,520,0.01011,0.000948
supervisor,gpt-4.1-mini,book_existing_patient,1,patient_hangup,,5,2.6124,16,22136,504,0.009661,0.000936
supervisor,gpt-4.1-mini,cancel_existing,0,patient_hangup,,4,3.3348,15,18083,492,0.00802,0.000742
supervisor,gpt-4.1-mini,cancel_nonexistent,0,patient_hangup,,2,3.936,9,10398,306,0.004649,0.000374
supervisor,gpt-4.1-mini,same_name_diff_phone,1,patient_hangup,,5,2.7268,16,22150,502,0.009663,0.001004
supervisor,gpt-4.1-mini,empty_availability_loop,1,patient_hangup,,19,1.2697,23,45343,1058,0.01983,0.00903
supervisor,gpt-4.1-mini,reject_offers_loop,1,patient_hangup,,9,3.8352,35,54572,1319,0.023939,0.002297
supervisor,gpt-4.1-mini,invalid_then_valid_time,1,patient_hangup,,5,2.8948,16,22456,565,0.009886,0.001081
supervisor,gpt-4.1-mini,slot_already_taken,1,patient_hangup,,6,3.5022,23,32753,855,0.014469,0.001287
supervisor,gpt-4.1-mini,confirm_before_cancel,1,patient_hangup,,4,2.3158,11,13704,356,0.006051,0.000776
supervisor,gpt-4.1-mini,misheard_dob,0,patient_hangup,,6,2.5356,18,25271,618,0.011097,0.001341
